movie,moviepage,overview,posterpath,tagline
Paris Is Burning - 1990,https://www.themoviedb.org/movie/31225,"A chronicle of New York City's drag scene in the 1980s, focusing on balls, voguing and the ambitions and dreams of those who gave the era its warmth and vitality.",https://image.tmdb.org/t/p/original/UeNcbdtVcBZk0ggUBVaXwO2Dbe.jpg,Having a ball... Wish you were here
The Fifth Element - 1997,https://www.themoviedb.org/movie/18,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",https://image.tmdb.org/t/p/original/zaFa1NRZEnFgRTv5OVXkNIZO78O.jpg,There is no future without it.
Weird Science - 1985,https://www.themoviedb.org/movie/11814,"Two unpopular teenagers, Gary and Wyatt, fail at all attempts to be accepted by their peers. Their desperation to be liked leads them to ""create"" a woman via their computer. Their living and breathing creation is a gorgeous woman, Lisa, whose purpose is to boost their confidence level by putting them into situations which require Gary and Wyatt to act like men.",https://image.tmdb.org/t/p/original/36hDdzUfePCrjhOAskfC9tBnEbS.jpg,"If you can't get a date, make one!"
Best in Show - 2000,https://www.themoviedb.org/movie/13785,"The tension is palpable, the excitement is mounting and the heady scent of competition is in the air as hundreds of eager contestants from across America prepare to take part in what is undoubtedly one of the greatest events of their lives -- the Mayflower Dog Show. The canine contestants and their owners are as wondrously diverse as the great country that has bred them.",https://image.tmdb.org/t/p/original/rDoVUVT5CGkraBjEukfBTHsxBN9.jpg,Some pets deserve a little more respect than others.
Kung Fu Hustle - 2004,https://www.themoviedb.org/movie/9470,"Set in Canton, China in the 1940s, the story revolves in a town ruled by the Axe Gang, Sing who desperately wants to become a member. He stumbles into a slum ruled by eccentric landlords who turns out to be the greatest kung-fu masters in disguise. Sing's actions eventually cause the Axe Gang and the slumlords to engage in an explosive kung-fu battle. Only one side will win and only one hero will emerge as the greatest kung-fu master of all.",https://image.tmdb.org/t/p/original/18BmJuz8LgY5GyiRO6H16hN7iWP.jpg,So many gangsters...so little time.
Fight Club - 1999,https://www.themoviedb.org/movie/550,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",https://image.tmdb.org/t/p/original/adw6Lq9FiC9zjYEpOqfq03ituwp.jpg,Mischief. Mayhem. Soap.
Joy Ride - 2001,https://www.themoviedb.org/movie/10866,"Three young people on a road trip from Colorado to New Jersey talk to a trucker on their CB radio, then must escape when he turns out to be a psychotic killer.",https://image.tmdb.org/t/p/original/q8y2T2LvJV0mvia1RA9pS1K33GR.jpg,"It was just a joke, just for fun."
Mulholland Drive - 2001,https://www.themoviedb.org/movie/1018,"Blonde Betty Elms has only just arrived in Hollywood to become a movie star when she meets an enigmatic brunette with amnesia. Meanwhile, as the two set off to solve the second woman's identity, filmmaker Adam Kesher runs into ominous trouble while casting his latest project.",https://image.tmdb.org/t/p/original/tVxGt7uffLVhIIcwuldXOMpFBPX.jpg,An actress longing to be a star. A woman searching for herself. Both worlds will collide... on Mulholland Drive.
Ciao! Manhattan - 1973,https://www.themoviedb.org/movie/42479,"The very sad tale of socialite & Warhol muse Edie Sedgwick (1943-1971) who effectively plays herself in a film that follows her life in a large part from the time she left Warhol's 'factory' and what the life of excess drugs did to her sanity. Edie was such a beautiful fragile girl - who finally got her head together and got married (her wedding day video is edited into the end of the movie) but it was too late, her husband woke up on a morning in November 1971, only weeks after filming wrapped, and found her dead beside him. She had died in her sleep from overdosing on her medication she was 28.",https://image.tmdb.org/t/p/original/vwqnH6omAWc7EVBSGSikrCddEzM.jpg,
Full Frame: Documentary Shorts - 1999,,,,
Boycott - 2001,https://www.themoviedb.org/movie/205361,"This made-for-TV movie dramatizes the historic boycott of public buses in the 1950s, led by civil rights leader Dr. Martin Luther King, Jr.",https://image.tmdb.org/t/p/original/pk7u9Pvm5e8Zef2UiosM3aDi5Z6.jpg,The Story of Martin Luther King and One Act of Defiance That Changed a Nation
Viva La Bam: Season 1 - 2003,,,,
GTO: Great Teacher Onizuka: Set 2 - 1998,,,,
Blue Seed: Beyond - 2003,,,,
Futurama: Monster Robot Maniac Fun Collection - 1999,,,,
